record_id,mandi_id,mandi_name,crop_type,crop_category,quantity_quintals,procurement_date,slot_start,slot_end,slot_hour,day_of_week,month,farmers_in_selected_slot,active_queue_count,arrival_time,completion_time,created_at,actual_processing_duration_mins
SYN-00029,MD-KOL-002,Taratala Agricultural Mandi,Gram (Chana),pulses,23.96,2025-11-28,12:00:00,12:30:00,12,4,11,8,12,2025-11-28 12:15:00,2025-11-28 12:59:00,2025-11-28 09:17:00,44
SYN-00030,MD-MUR-001,Murshidabad Agricultural Mandi,Jute,commercial_and_fibre,58.48,2025-09-27,13:30:00,14:00:00,13,5,9,4,6,2025-09-27 14:35:00,2025-09-27 15:16:00,2025-09-27 10:47:00,41
SYN-00031,MD-KOL-002,Taratala Agricultural Mandi,Urad,pulses,15.71,2025-10-01,10:00:00,10:30:00,10,2,10,11,16,2025-10-01 10:05:00,2025-10-01 10:55:00,2025-10-01 08:34:00,50
SYN-00032,MD-BRD-001,Burdwan Agricultural Mandi,Rice / Paddy,food_grains,53.79,2025-05-19,16:30:00,17:00:00,16,0,5,7,6,2025-05-19 16:40:00,2025-05-19 17:20:00,2025-05-19 14:01:00,40
SYN-00033,MD-KOL-002,Taratala Agricultural Mandi,Cotton,commercial_and_fibre,80.45,2025-02-26,10:30:00,11:00:00,10,2,2,6,10,2025-02-26 10:40:00,2025-02-26 11:35:00,2025-02-26 08:00:00,55
SYN-00034,MD-NAD-001,Nadia Agricultural Mandi,Cotton,commercial_and_fibre,28.04,2025-12-04,15:30:00,16:00:00,15,3,12,5,10,2025-12-04 15:40:00,2025-12-04 16:16:00,2025-12-04 12:33:00,36
SYN-00035,MD-KOL-001,Ballygunge Agricultural Mandi,Soybean,oilseeds,27.74,2026-06-24,11:30:00,12:00:00,11,2,6,8,7,2026-06-24 12:45:00,2026-06-24 13:32:00,2026-06-24 11:55:00,47
SYN-00036,MD-HOW-001,Howrah Agricultural Mandi,Arhar (Tur),pulses,52.73,2025-02-08,08:00:00,08:30:00,8,5,2,8,9,2025-02-08 08:00:00,2025-02-08 08:45:00,2025-02-08 07:28:00,45
SYN-00037,MD-HOO-001,Hooghly Agricultural Mandi,Gram (Chana),pulses,32.8,2026-06-06,12:30:00,13:00:00,12,5,6,4,6,2026-06-06 12:30:00,2026-06-06 13:05:00,2026-06-06 11:31:00,35
SYN-00038,MD-NAD-001,Nadia Agricultural Mandi,Rice / Paddy,food_grains,47.23,2026-05-19,13:00:00,13:30:00,13,1,5,8,8,2026-05-19 14:10:00,2026-05-19 14:48:00,2026-05-19 11:49:00,38
SYN-00039,MD-BRD-001,Burdwan Agricultural Mandi,Wheat,food_grains,60.57,2025-06-18,15:00:00,15:30:00,15,2,6,8,7,2025-06-18 15:10:00,2025-06-18 15:57:00,2025-06-18 11:13:00,47
SYN-00040,MD-BRD-001,Burdwan Agricultural Mandi,Gram (Chana),pulses,36.78,2026-01-20,12:00:00,12:30:00,12,1,1,6,8,2026-01-20 13:00:00,2026-01-20 13:34:00,2026-01-20 12:00:00,34
SYN-00041,MD-HOO-001,Hooghly Agricultural Mandi,Jute,commercial_and_fibre,20.91,2025-04-11,09:30:00,10:00:00,9,4,4,8,8,2025-04-11 09:40:00,2025-04-11 10:23:00,2025-04-11 05:47:00,43
SYN-00042,MD-KOL-003,New Town Agricultural Mandi,Groundnut,oilseeds,57.85,2026-04-06,16:30:00,17:00:00,16,0,4,4,6,2026-04-06 16:45:00,2026-04-06 17:22:00,2026-04-06 14:26:00,37
SYN-00043,MD-KOL-003,New Town Agricultural Mandi,Moong,pulses,55.76,2026-03-02,12:30:00,13:00:00,12,0,3,6,5,2026-03-02 12:30:00,2026-03-02 13:05:00,2026-03-02 12:12:00,35
SYN-00044,MD-MUR-001,Murshidabad Agricultural Mandi,Maize,coarse_cereals,13.2,2025-08-04,10:00:00,10:30:00,10,0,8,6,8,2025-08-04 10:10:00,2025-08-04 10:43:00,2025-08-04 07:41:00,33
SYN-00045,MD-HOO-001,Hooghly Agricultural Mandi,Moong,pulses,11.67,2025-02-11,15:30:00,16:00:00,15,1,2,6,8,2025-02-11 15:45:00,2025-02-11 16:11:00,2025-02-11 14:50:00,26
SYN-00046,MD-MUR-001,Murshidabad Agricultural Mandi,Soybean,oilseeds,51.52,2026-08-14,09:30:00,10:00:00,9,4,8,8,10,2026-08-14 09:35:00,2026-08-14 10:19:00,2026-08-14 06:57:00,44
SYN-00047,MD-HOW-001,Howrah Agricultural Mandi,Maize,coarse_cereals,46.27,2025-09-28,09:30:00,10:00:00,9,6,9,5,5,2025-09-28 10:45:00,2025-09-28 11:25:00,2025-09-28 07:13:00,40
SYN-00048,MD-HOW-001,Howrah Agricultural Mandi,Gram (Chana),pulses,26.04,2026-06-28,12:00:00,12:30:00,12,6,6,1,5,2026-06-28 12:10:00,2026-06-28 12:39:00,2026-06-28 08:41:00,29
SYN-00049,MD-BRD-001,Burdwan Agricultural Mandi,Groundnut,oilseeds,41.43,2026-02-17,13:00:00,13:30:00,13,1,2,14,17,2026-02-17 13:10:00,2026-02-17 14:12:00,2026-02-17 11:09:00,62
SYN-00050,MD-NAD-001,Nadia Agricultural Mandi,Cotton,commercial_and_fibre,74.78,2026-04-19,12:00:00,12:30:00,12,6,4,10,10,2026-04-19 12:00:00,2026-04-19 12:58:00,2026-04-19 10:00:00,58
SYN-00051,MD-KOL-002,Taratala Agricultural Mandi,Groundnut,oilseeds,39.28,2026-04-08,16:30:00,17:00:00,16,2,4,5,11,2026-04-08 16:45:00,2026-04-08 17:35:00,2026-04-08 13:08:00,50
SYN-00052,MD-HOO-001,Hooghly Agricultural Mandi,Rice / Paddy,food_grains,19.81,2025-04-29,10:00:00,10:30:00,10,1,4,11,13,2025-04-29 10:15:00,2025-04-29 10:59:00,2025-04-29 07:22:00,44
SYN-00053,MD-KOL-002,Taratala Agricultural Mandi,Gram (Chana),pulses,9.92,2025-08-10,16:00:00,16:30:00,16,6,8,8,11,2025-08-10 17:05:00,2025-08-10 17:46:00,2025-08-10 16:13:00,41
SYN-00054,MD-BRD-001,Burdwan Agricultural Mandi,Urad,pulses,29.14,2025-10-11,08:00:00,08:30:00,8,5,10,10,13,2025-10-11 08:00:00,2025-10-11 08:37:00,2025-10-11 04:48:00,37
SYN-00055,MD-KOL-001,Ballygunge Agricultural Mandi,Gram (Chana),pulses,55.76,2025-10-30,09:00:00,09:30:00,9,3,10,14,14,2025-10-30 09:05:00,2025-10-30 10:04:00,2025-10-30 08:03:00,59
SYN-00056,MD-BRD-001,Burdwan Agricultural Mandi,Bajra (Pearl Millet),coarse_cereals,43.47,2025-01-27,10:30:00,11:00:00,10,0,1,8,12,2025-01-27 10:35:00,2025-01-27 11:19:00,2025-01-27 06:38:00,44
SYN-00057,MD-MUR-001,Murshidabad Agricultural Mandi,Gram (Chana),pulses,24.7,2025-11-29,09:30:00,10:00:00,9,5,11,7,8,2025-11-29 09:45:00,2025-11-29 10:21:00,2025-11-29 07:37:00,36
SYN-00058,MD-KOL-001,Ballygunge Agricultural Mandi,Wheat,food_grains,73.61,2025-04-04,11:00:00,11:30:00,11,4,4,8,9,2025-04-04 11:15:00,2025-04-04 12:02:00,2025-04-04 08:54:00,47
SYN-00059,MD-NAD-001,Nadia Agricultural Mandi,Wheat,food_grains,37.2,2026-03-28,15:00:00,15:30:00,15,5,3,4,7,2026-03-28 15:05:00,2026-03-28 15:37:00,2026-03-28 14:26:00,32
SYN-00060,MD-KOL-001,Ballygunge Agricultural Mandi,Cotton,commercial_and_fibre,58.28,2026-02-20,15:00:00,15:30:00,15,4,2,8,9,2026-02-20 15:10:00,2026-02-20 16:01:00,2026-02-20 11:48:00,51
SYN-00061,MD-KOL-003,New Town Agricultural Mandi,Ragi (Finger Millet),coarse_cereals,16.99,2026-07-15,14:00:00,14:30:00,14,2,7,4,4,2026-07-15 15:00:00,2026-07-15 15:26:00,2026-07-15 13:00:00,26
SYN-00062,MD-KOL-003,New Town Agricultural Mandi,Maize,coarse_cereals,54.24,2026-03-29,08:30:00,09:00:00,8,6,3,2,5,2026-03-29 08:40:00,2026-03-29 09:13:00,2026-03-29 06:50:00,33
SYN-00063,MD-HOO-001,Hooghly Agricultural Mandi,Cotton,commercial_and_fibre,74.53,2025-08-11,15:00:00,15:30:00,15,0,8,7,8,2025-08-11 15:10:00,2025-08-11 15:57:00,2025-08-11 11:17:00,47
SYN-00064,MD-MUR-001,Murshidabad Agricultural Mandi,Groundnut,oilseeds,57.24,2026-08-12,11:00:00,11:30:00,11,2,8,8,10,2026-08-12 11:10:00,2026-08-12 11:58:00,2026-08-12 09:34:00,48
SYN-00065,MD-HOW-001,Howrah Agricultural Mandi,Jute,commercial_and_fibre,42.64,2025-09-07,14:30:00,15:00:00,14,6,9,7,8,2025-09-07 15:30:00,2025-09-07 16:18:00,2025-09-07 11:33:00,48
SYN-00066,MD-HOW-001,Howrah Agricultural Mandi,Maize,coarse_cereals,36.16,2025-07-18,14:30:00,15:00:00,14,4,7,6,10,2025-07-18 15:45:00,2025-07-18 16:24:00,2025-07-18 13:12:00,39
SYN-00067,MD-KOL-001,Ballygunge Agricultural Mandi,Maize,coarse_cereals,20.1,2026-07-05,09:00:00,09:30:00,9,6,7,8,7,2026-07-05 09:10:00,2026-07-05 09:44:00,2026-07-05 06:37:00,34
SYN-00068,MD-MUR-001,Murshidabad Agricultural Mandi,Wheat,food_grains,77.52,2025-08-14,12:30:00,13:00:00,12,3,8,3,6,2025-08-14 12:30:00,2025-08-14 13:03:00,2025-08-14 12:02:00,33
SYN-00069,MD-KOL-003,New Town Agricultural Mandi,Moong,pulses,9.73,2025-02-16,16:30:00,17:00:00,16,6,2,4,6,2025-02-16 16:35:00,2025-02-16 16:58:00,2025-02-16 13:10:00,23
SYN-00070,MD-HOW-001,Howrah Agricultural Mandi,Maize,coarse_cereals,48.94,2025-10-13,10:30:00,11:00:00,10,0,10,8,10,2025-10-13 10:35:00,2025-10-13 11:27:00,2025-10-13 10:00:00,52
SYN-00071,MD-KOL-001,Ballygunge Agricultural Mandi,Rice / Paddy,food_grains,59.37,2026-04-29,13:00:00,13:30:00,13,2,4,2,3,2026-04-29 13:05:00,2026-04-29 13:34:00,2026-04-29 10:29:00,29
SYN-00072,MD-KOL-003,New Town Agricultural Mandi,Soybean,oilseeds,17.78,2025-04-26,16:00:00,16:30:00,16,5,4,4,7,2025-04-26 17:15:00,2025-04-26 17:46:00,2025-04-26 13:30:00,31
SYN-00073,MD-HOO-001,Hooghly Agricultural Mandi,Urad,pulses,25.09,2025-10-09,11:00:00,11:30:00,11,3,10,11,13,2025-10-09 11:10:00,2025-10-09 11:57:00,2025-10-09 09:27:00,47
SYN-00074,MD-MUR-001,Murshidabad Agricultural Mandi,Arhar (Tur),pulses,7.37,2025-03-20,11:00:00,11:30:00,11,3,3,9,10,2025-03-20 11:05:00,2025-03-20 11:48:00,2025-03-20 09:28:00,43
SYN-00075,MD-KOL-003,New Town Agricultural Mandi,Mustard / Rapeseed,oilseeds,42.51,2026-02-22,11:00:00,11:30:00,11,6,2,10,12,2026-02-22 11:15:00,2026-02-22 12:03:00,2026-02-22 09:28:00,48
SYN-00076,MD-HOO-001,Hooghly Agricultural Mandi,Groundnut,oilseeds,69.69,2025-10-17,14:30:00,15:00:00,14,4,10,7,10,2025-10-17 14:30:00,2025-10-17 15:18:00,2025-10-17 13:01:00,48
SYN-00077,MD-MUR-001,Murshidabad Agricultural Mandi,Sugarcane,commercial_and_fibre,51.54,2025-07-20,11:00:00,11:30:00,11,6,7,8,11,2025-07-20 11:10:00,2025-07-20 12:10:00,2025-07-20 10:03:00,60
SYN-00078,MD-KOL-003,New Town Agricultural Mandi,Gram (Chana),pulses,59.45,2025-05-18,11:30:00,12:00:00,11,6,5,4,9,2025-05-18 11:30:00,2025-05-18 12:05:00,2025-05-18 11:13:00,35
SYN-00079,MD-KOL-003,New Town Agricultural Mandi,Gram (Chana),pulses,11.94,2025-12-10,10:30:00,11:00:00,10,2,12,4,10,2025-12-10 10:30:00,2025-12-10 11:04:00,2025-12-10 06:50:00,34
SYN-00080,MD-KOL-001,Ballygunge Agricultural Mandi,Cotton,commercial_and_fibre,48.36,2026-02-12,16:00:00,16:30:00,16,3,2,7,11,2026-02-12 16:10:00,2026-02-12 16:57:00,2026-02-12 15:35:00,47
SYN-00081,MD-MUR-001,Murshidabad Agricultural Mandi,Wheat,food_grains,73.14,2026-07-26,15:00:00,15:30:00,15,6,7,7,7,2026-07-26 16:15:00,2026-07-26 16:54:00,2026-07-26 14:57:00,39
SYN-00082,MD-KOL-001,Ballygunge Agricultural Mandi,Rice / Paddy,food_grains,71.37,2025-09-23,12:00:00,12:30:00,12,1,9,8,8,2025-09-23 12:05:00,2025-09-23 12:58:00,2025-09-23 09:20:00,53
SYN-00083,MD-KOL-002,Taratala Agricultural Mandi,Gram (Chana),pulses,22.8,2025-04-08,16:00:00,16:30:00,16,1,4,3,2,2025-04-08 17:00:00,2025-04-08 17:25:00,2025-04-08 14:55:00,25
SYN-00084,MD-KOL-002,Taratala Agricultural Mandi,Urad,pulses,42.32,2026-05-22,13:00:00,13:30:00,13,4,5,6,9,2026-05-22 14:05:00,2026-05-22 14:47:00,2026-05-22 10:17:00,42
SYN-00085,MD-NAD-001,Nadia Agricultural Mandi,Moong,pulses,53.74,2026-01-18,16:00:00,16:30:00,16,6,1,5,6,2026-01-18 16:05:00,2026-01-18 16:42:00,2026-01-18 13:10:00,37
SYN-00086,MD-KOL-003,New Town Agricultural Mandi,Sugarcane,commercial_and_fibre,80.18,2026-03-02,09:30:00,10:00:00,9,0,3,10,12,2026-03-02 09:35:00,2026-03-02 10:33:00,2026-03-02 08:26:00,58
SYN-00087,MD-NAD-001,Nadia Agricultural Mandi,Wheat,food_grains,53.99,2025-03-01,10:00:00,10:30:00,10,5,3,9,9,2025-03-01 10:10:00,2025-03-01 10:55:00,2025-03-01 08:38:00,45
SYN-00088,MD-HOO-001,Hooghly Agricultural Mandi,Maize,coarse_cereals,19.15,2025-07-09,15:00:00,15:30:00,15,2,7,8,8,2025-07-09 15:15:00,2025-07-09 15:48:00,2025-07-09 14:43:00,33
SYN-00089,MD-KOL-001,Ballygunge Agricultural Mandi,Jowar (Sorghum),coarse_cereals,14.38,2026-04-12,11:00:00,11:30:00,11,6,4,8,11,2026-04-12 11:15:00,2026-04-12 12:02:00,2026-04-12 10:29:00,47
SYN-00090,MD-KOL-003,New Town Agricultural Mandi,Groundnut,oilseeds,46.11,2026-05-22,11:30:00,12:00:00,11,4,5,4,5,2026-05-22 11:35:00,2026-05-22 12:17:00,2026-05-22 08:08:00,42
SYN-00091,MD-KOL-001,Ballygunge Agricultural Mandi,Mustard / Rapeseed,oilseeds,39.02,2025-09-22,14:30:00,15:00:00,14,0,9,5,8,2025-09-22 14:40:00,2025-09-22 15:23:00,2025-09-22 11:47:00,43
SYN-00092,MD-KOL-001,Ballygunge Agricultural Mandi,Groundnut,oilseeds,22.76,2026-05-05,13:00:00,13:30:00,13,1,5,5,11,2026-05-05 13:10:00,2026-05-05 13:46:00,2026-05-05 12:11:00,36
SYN-00093,MD-HOW-001,Howrah Agricultural Mandi,Mustard / Rapeseed,oilseeds,26.15,2026-05-27,11:30:00,12:00:00,11,2,5,7,9,2026-05-27 11:40:00,2026-05-27 12:29:00,2026-05-27 08:59:00,49
SYN-00094,MD-KOL-003,New Town Agricultural Mandi,Soybean,oilseeds,32.31,2025-08-24,11:30:00,12:00:00,11,6,8,6,8,2025-08-24 11:40:00,2025-08-24 12:25:00,2025-08-24 09:13:00,45
SYN-00095,MD-KOL-001,Ballygunge Agricultural Mandi,Maize,coarse_cereals,39.73,2026-07-01,11:00:00,11:30:00,11,2,7,7,9,2026-07-01 12:15:00,2026-07-01 13:05:00,2026-07-01 10:58:00,50
SYN-00096,MD-HOW-001,Howrah Agricultural Mandi,Rice / Paddy,food_grains,37.32,2025-06-25,09:00:00,09:30:00,9,2,6,15,15,2025-06-25 09:10:00,2025-06-25 10:06:00,2025-06-25 06:01:00,56
SYN-00097,MD-HOW-001,Howrah Agricultural Mandi,Rice / Paddy,food_grains,37.11,2025-05-26,10:00:00,10:30:00,10,0,5,10,15,2025-05-26 10:10:00,2025-05-26 10:59:00,2025-05-26 08:27:00,49
SYN-00098,MD-MUR-001,Murshidabad Agricultural Mandi,Maize,coarse_cereals,16.94,2026-02-19,12:00:00,12:30:00,12,3,2,11,12,2026-02-19 13:10:00,2026-02-19 13:51:00,2026-02-19 11:50:00,41
SYN-00099,MD-NAD-001,Nadia Agricultural Mandi,Cotton,commercial_and_fibre,88.58,2026-01-23,14:30:00,15:00:00,14,4,1,6,9,2026-01-23 15:45:00,2026-01-23 16:40:00,2026-01-23 14:08:00,55
SYN-00100,MD-HOW-001,Howrah Agricultural Mandi,Wheat,food_grains,52.64,2025-03-26,11:00:00,11:30:00,11,2,3,6,6,2025-03-26 11:00:00,2025-03-26 11:40:00,2025-03-26 08:15:00,40
SYN-00101,MD-HOW-001,Howrah Agricultural Mandi,Soybean,oilseeds,17.06,2026-05-22,11:00:00,11:30:00,11,4,5,10,14,2026-05-22 11:10:00,2026-05-22 11:59:00,2026-05-22 10:52:00,49
SYN-00102,MD-KOL-001,Ballygunge Agricultural Mandi,Wheat,food_grains,39.67,2025-05-02,13:00:00,13:30:00,13,4,5,8,7,2025-05-02 13:15:00,2025-05-02 13:59:00,2025-05-02 11:29:00,44
SYN-00103,MD-HOW-001,Howrah Agricultural Mandi,Soybean,oilseeds,33.84,2026-05-05,09:00:00,09:30:00,9,1,5,8,9,2026-05-05 09:15:00,2026-05-05 10:01:00,2026-05-05 07:09:00,46
SYN-00104,MD-HOO-001,Hooghly Agricultural Mandi,Moong,pulses,38.03,2025-01-05,11:30:00,12:00:00,11,6,1,11,13,2025-01-05 11:45:00,2025-01-05 12:33:00,2025-01-05 08:39:00,48
SYN-00105,MD-KOL-001,Ballygunge Agricultural Mandi,Gram (Chana),pulses,38.49,2026-04-30,10:00:00,10:30:00,10,3,4,9,10,2026-04-30 10:15:00,2026-04-30 11:02:00,2026-04-30 08:28:00,47
SYN-00106,MD-MUR-001,Murshidabad Agricultural Mandi,Arhar (Tur),pulses,40.49,2026-04-24,13:00:00,13:30:00,13,4,4,13,13,2026-04-24 13:00:00,2026-04-24 13:54:00,2026-04-24 12:07:00,54
SYN-00107,MD-HOO-001,Hooghly Agricultural Mandi,Sugarcane,commercial_and_fibre,74.32,2026-04-20,09:30:00,10:00:00,9,0,4,6,8,2026-04-20 09:30:00,2026-04-20 10:23:00,2026-04-20 08:33:00,53
SYN-00108,MD-BRD-001,Burdwan Agricultural Mandi,Gram (Chana),pulses,10.68,2026-02-09,11:00:00,11:30:00,11,0,2,7,9,2026-02-09 11:10:00,2026-02-09 11:52:00,2026-02-09 09:14:00,42
SYN-00109,MD-KOL-003,New Town Agricultural Mandi,Wheat,food_grains,31.34,2025-10-14,12:00:00,12:30:00,12,1,10,5,8,2025-10-14 12:05:00,2025-10-14 12:39:00,2025-10-14 11:21:00,34
SYN-00110,MD-BRD-001,Burdwan Agricultural Mandi,Groundnut,oilseeds,9.08,2026-03-05,15:30:00,16:00:00,15,3,3,5,8,2026-03-05 15:45:00,2026-03-05 16:19:00,2026-03-05 14:36:00,34
SYN-00111,MD-KOL-003,New Town Agricultural Mandi,Sugarcane,commercial_and_fibre,53.64,2025-06-18,14:00:00,14:30:00,14,2,6,2,1,2025-06-18 14:05:00,2025-06-18 14:49:00,2025-06-18 10:55:00,44
SYN-00112,MD-MUR-001,Murshidabad Agricultural Mandi,Cotton,commercial_and_fibre,51.5,2026-04-20,16:00:00,16:30:00,16,0,4,6,6,2026-04-20 16:00:00,2026-04-20 16:40:00,2026-04-20 13:23:00,40
SYN-00113,MD-HOO-001,Hooghly Agricultural Mandi,Arhar (Tur),pulses,45.39,2025-12-04,13:00:00,13:30:00,13,3,12,7,10,2025-12-04 13:10:00,2025-12-04 13:51:00,2025-12-04 10:38:00,41
SYN-00114,MD-NAD-001,Nadia Agricultural Mandi,Gram (Chana),pulses,14.19,2025-10-07,11:00:00,11:30:00,11,1,10,9,12,2025-10-07 11:00:00,2025-10-07 11:42:00,2025-10-07 08:03:00,42
SYN-00115,MD-KOL-002,Taratala Agricultural Mandi,Maize,coarse_cereals,47.89,2025-11-04,10:00:00,10:30:00,10,1,11,8,10,2025-11-04 11:00:00,2025-11-04 11:48:00,2025-11-04 07:15:00,48
SYN-00116,MD-MUR-001,Murshidabad Agricultural Mandi,Gram (Chana),pulses,21.87,2025-12-12,08:00:00,08:30:00,8,4,12,10,16,2025-12-12 08:15:00,2025-12-12 08:58:00,2025-12-12 04:38:00,43
SYN-00117,MD-KOL-002,Taratala Agricultural Mandi,Wheat,food_grains,36.73,2025-01-23,10:30:00,11:00:00,10,3,1,6,14,2025-01-23 10:45:00,2025-01-23 11:32:00,2025-01-23 08:00:00,47
